Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Evan Turner,SF,29.0,79.0,2034.0,9.8,0.52,12.4,6.5,1.2,1.1,13.7,15.6,0.5,2.1,2.6,0.061,-2.9,0.4,-2.5,-0.3,2018
Clint Capela,C,23.0,74.0,2034.0,24.5,0.65,5.7,22.2,5.7,1.4,11.5,19.4,6.2,4.1,10.2,0.242,2.4,1.0,3.4,2.8,2018
Jonathon Simmons,SG,28.0,69.0,2029.0,12.7,0.555,13.3,6.5,0.6,1.4,14.4,22.0,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5,2018
De'Aaron Fox,PG,20.0,73.0,2026.0,11.2,0.478,24.6,5.7,0.9,1.7,16.4,23.4,-1.7,1.0,-0.6,-0.014,-2.7,-1.5,-4.2,-1.1,2018
Buddy Hield,SG,25.0,80.0,2024.0,16.1,0.557,12.8,8.6,1.0,2.1,11.3,24.3,1.3,1.5,2.8,0.067,1.6,-0.5,1.0,1.5,2018
Lauri Markkanen,PF,20.0,68.0,2020.0,15.6,0.552,6.4,13.5,1.8,0.9,8.2,21.9,1.7,1.6,3.3,0.079,1.0,-1.2,-0.2,0.9,2018
Darren Collison,PG,30.0,69.0,2018.0,18.8,0.61,26.4,5.0,0.7,2.3,10.9,17.4,5.8,1.8,7.6,0.181,2.4,0.3,2.7,2.4,2018
Marvin Williams,PF,31.0,78.0,2006.0,13.9,0.603,7.0,10.0,1.6,1.4,9.7,14.8,3.1,1.9,5.0,0.119,0.6,0.3,1.0,1.5,2018
Nicolas Batum,SG,29.0,64.0,1981.0,14.4,0.523,26.2,8.4,1.0,1.6,15.6,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2,2018
Kyle Anderson,SF,24.0,74.0,1978.0,15.9,0.582,14.7,11.1,2.5,2.9,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4,2018
