Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Bones Hyland,PG,22.0,56.0,1.0,19.4,11.8,2.4,3.1,0.7,0.3,1.5,0.399,0.371,0.843,2023
Bones Hyland,PG,22.0,42.0,1.0,19.5,12.1,2.0,3.0,0.7,0.3,1.6,0.399,0.378,0.866,2023
Lonnie Walker IV,SG,24.0,56.0,32.0,23.2,11.7,1.9,1.1,0.5,0.3,0.8,0.448,0.365,0.858,2023
Zach Collins,C,25.0,63.0,26.0,22.9,11.6,6.4,2.9,0.6,0.8,2.0,0.518,0.374,0.761,2023
Bruce Brown,SF,26.0,80.0,31.0,28.5,11.5,4.1,3.4,1.1,0.6,1.5,0.483,0.358,0.758,2023
Naz Reid,C,23.0,68.0,11.0,18.4,11.5,4.9,1.1,0.6,0.8,1.4,0.537,0.346,0.677,2023
Marcus Smart,PG,28.0,61.0,61.0,32.1,11.5,3.1,6.3,1.5,0.4,2.3,0.415,0.336,0.746,2023
Max Strus,SF,26.0,80.0,33.0,28.4,11.5,3.2,2.1,0.5,0.2,0.9,0.41,0.35,0.876,2023
John Wall,PG,32.0,34.0,3.0,22.2,11.4,2.7,5.2,0.8,0.4,2.4,0.408,0.303,0.681,2023
Quentin Grimes,SG,22.0,71.0,66.0,29.9,11.3,3.2,2.1,0.7,0.4,1.0,0.468,0.386,0.796,2023
Isaiah Stewart,C,21.0,50.0,47.0,28.3,11.3,8.1,1.4,0.4,0.7,1.4,0.442,0.327,0.738,2023
Rui Hachimura,PF,24.0,63.0,9.0,23.3,11.2,4.5,0.9,0.3,0.4,0.8,0.486,0.319,0.739,2023
Rui Hachimura,PF,24.0,30.0,0.0,24.3,13.0,4.3,1.2,0.4,0.4,1.2,0.488,0.337,0.759,2023
Rui Hachimura,PF,24.0,33.0,9.0,22.4,9.6,4.7,0.7,0.2,0.4,0.5,0.485,0.296,0.721,2023
Kyle Lowry,PG,36.0,55.0,44.0,31.2,11.2,4.1,5.1,1.0,0.4,1.9,0.404,0.345,0.859,2023
Marcus Morris,PF,33.0,65.0,65.0,28.1,11.2,4.0,1.8,0.6,0.3,0.9,0.426,0.364,0.782,2023
Corey Kispert,SF,23.0,74.0,45.0,28.3,11.1,2.8,1.2,0.4,0.1,0.7,0.497,0.424,0.852,2023
Jeremy Sochan,PF,19.0,56.0,53.0,26.0,11.0,5.3,2.5,0.8,0.4,1.7,0.453,0.246,0.698,2023
Mason Plumlee,C,32.0,79.0,60.0,26.0,10.8,8.9,3.1,0.6,0.6,1.5,0.68,,0.636,2023
Mason Plumlee,C,32.0,56.0,56.0,28.5,12.2,9.7,3.7,0.6,0.6,1.6,0.669,,0.605,2023
Mason Plumlee,C,32.0,23.0,4.0,19.9,7.5,6.9,1.7,0.5,0.5,1.3,0.727,,0.772,2023
Kentavious Caldwell-Pope,SG,29.0,76.0,76.0,31.3,10.8,2.7,2.4,1.5,0.5,1.1,0.462,0.423,0.824,2023
Jaylen Nowell,SG,23.0,65.0,2.0,19.3,10.8,2.6,2.0,0.6,0.1,1.0,0.448,0.289,0.778,2023
Ivica Zubac,C,25.0,76.0,76.0,28.6,10.8,9.9,1.0,0.4,1.3,1.5,0.634,0.0,0.697,2023
Talen Horton-Tucker,SG,22.0,65.0,20.0,20.2,10.7,3.2,3.8,0.6,0.4,1.9,0.419,0.286,0.75,2023
Victor Oladipo,SG,30.0,42.0,2.0,26.3,10.7,3.0,3.5,1.4,0.3,2.1,0.397,0.33,0.747,2023
Cam Thomas,SG,21.0,57.0,4.0,16.6,10.6,1.7,1.4,0.4,0.1,1.1,0.441,0.383,0.868,2023
Moritz Wagner,C,25.0,57.0,18.0,19.5,10.5,4.5,1.5,0.6,0.2,1.2,0.5,0.313,0.841,2023
Grayson Allen,SG,27.0,72.0,70.0,27.4,10.4,3.3,2.3,0.9,0.2,1.0,0.44,0.399,0.905,2023
