Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
Alec Burks,2019,2,Defensive Anchor,0.2318918154345589,-0.5421925319428382,0.09812343740576412,12.7,0.523,-1.2,0.3,13.7,9.4,1.3,1.4,10.8
Alec Burks,2019,2,Defensive Anchor,0.2318918154345589,-0.5421925319428382,0.09812343740576412,12.7,0.523,-1.2,0.3,13.7,9.4,1.3,1.4,10.8
Alec Burks,2019,2,Defensive Anchor,0.19742834146756919,-0.5369625393832387,-0.04459869013594666,13.2,0.517,-1.4,0.1,15.0,10.6,1.4,1.3,10.7
Alec Burks,2019,2,Defensive Anchor,0.19742834146756919,-0.5369625393832387,-0.04459869013594666,13.2,0.517,-1.4,0.1,15.0,10.6,1.4,1.3,10.7
Alec Burks,2020,2,Defensive Anchor,0.1812839215697069,0.7613063027255537,0.7920447354910913,16.7,0.561,0.5,1.1,17.2,8.7,0.9,1.7,9.3
Alec Burks,2020,2,Defensive Anchor,0.1812839215697069,0.7613063027255537,0.7920447354910913,16.7,0.561,0.5,1.1,17.2,8.7,0.9,1.7,9.3
Alec Burks,2020,2,Defensive Anchor,0.18344522062026364,0.4517693280890263,0.683515093300301,16.1,0.552,0.1,0.7,17.4,8.8,1.1,1.7,9.8
Alec Burks,2020,2,Defensive Anchor,0.18344522062026364,0.4517693280890263,0.683515093300301,16.1,0.552,0.1,0.7,17.4,8.8,1.1,1.7,9.8
Alec Burks,2021,2,Defensive Anchor,0.34970576876776044,0.7082738234727196,0.038743710443223396,14.8,0.564,1.5,1.1,13.2,9.8,1.1,1.2,8.2
Alec Burks,2022,2,Defensive Anchor,0.10448809199174415,0.7497948188535043,0.7873488031771493,13.7,0.559,0.8,1.7,15.7,9.2,1.1,1.8,9.7
Alec Burks,2023,2,Defensive Anchor,0.23752222862344355,0.9081823057848801,0.68780959308002,16.5,0.602,1.2,0.9,15.9,7.8,0.6,1.6,9.7
Alec Burks,2024,2,Defensive Anchor,0.2300313590206106,-1.112643438328887,-0.2693151122114221,12.9,0.536,-2.3,-0.1,10.7,6.9,0.9,1.1,7.0
Alec Burks,2024,2,Defensive Anchor,0.2300313590206106,-1.112643438328887,-0.2693151122114221,12.9,0.536,-2.3,-0.1,10.7,6.9,0.9,1.1,7.0
Alec Burks,2024,2,Defensive Anchor,0.2300313590206106,-1.112643438328887,-0.2693151122114221,12.9,0.536,-2.3,-0.1,10.7,6.9,0.9,1.1,7.0
Alec Burks,2024,2,Defensive Anchor,0.4287400359339682,-0.022284704583740954,-0.2195938334754657,15.1,0.581,-0.4,0.4,11.2,6.8,1.0,1.1,6.4
Alec Burks,2024,2,Defensive Anchor,0.4287400359339682,-0.022284704583740954,-0.2195938334754657,15.1,0.581,-0.4,0.4,11.2,6.8,1.0,1.1,6.4
Alec Burks,2024,2,Defensive Anchor,0.4287400359339682,-0.022284704583740954,-0.2195938334754657,15.1,0.581,-0.4,0.4,11.2,6.8,1.0,1.1,6.4
Alec Burks,2024,4,Stretch Big,0.330234290725617,-3.8258891844556224,-0.18194884058058766,6.5,0.42,-7.8,-0.5,9.2,7.2,0.3,1.1,8.3
Alec Burks,2024,4,Stretch Big,0.330234290725617,-3.8258891844556224,-0.18194884058058766,6.5,0.42,-7.8,-0.5,9.2,7.2,0.3,1.1,8.3
Alec Burks,2024,4,Stretch Big,0.330234290725617,-3.8258891844556224,-0.18194884058058766,6.5,0.42,-7.8,-0.5,9.2,7.2,0.3,1.1,8.3
Alec Peters,2018,2,Defensive Anchor,0.10606932035697283,-1.5550839161367234,-1.0598146044212315,10.7,0.523,-2.8,0.0,7.9,8.8,0.7,0.4,4.9
Aleksej Pokusevski,2021,4,Stretch Big,0.2457992668711228,-2.99002595888009,-0.887930801175484,6.1,0.43,-6.1,-1.1,13.1,10.1,3.4,0.9,18.8
Aleksej Pokusevski,2022,4,Stretch Big,0.07384974574495065,-0.7374432993280154,-0.32238554171031997,12.0,0.485,-2.6,-0.2,16.5,13.3,2.9,1.5,16.4
Aleksej Pokusevski,2023,5,Utility Bench,0.0926046842728046,0.6126720675602756,-1.3798443098100153,13.4,0.522,0.0,0.3,12.4,12.2,5.7,1.4,14.0
Aleksej Pokusevski,2024,0,Elite Scorer,0.008767764628110087,-0.29562440043110694,-0.6184632207413989,12.7,0.525,-1.9,0.0,12.0,12.3,3.0,1.8,12.0
Alex Caruso,2018,3,Playmaking Guard,0.1831217972571261,-1.4879792275006858,1.3707410006320917,8.7,0.519,-2.9,-0.1,17.8,6.2,1.4,2.0,24.5
Alex Caruso,2019,3,Playmaking Guard,0.09020041525079793,0.076472566829685,1.3192629096301027,13.9,0.569,-0.2,0.2,19.7,6.5,1.4,2.1,17.3
Alex Caruso,2020,0,Elite Scorer,0.2727798569403202,-0.5092851614763206,1.4494082991813548,10.8,0.525,-0.2,0.5,13.6,5.7,1.4,2.8,13.8
Alex Caruso,2021,0,Elite Scorer,0.06323776668455121,-0.10902303918659655,1.660386446413594,11.1,0.547,0.0,0.6,18.1,7.9,1.1,2.6,18.3
Alex Caruso,2022,0,Elite Scorer,0.16593607968288823,-0.10596304487347505,1.9954586611129226,11.7,0.528,0.2,0.6,18.5,7.3,1.1,3.0,16.5
Alex Caruso,2023,0,Elite Scorer,0.21058748193386262,0.8588092026413275,1.3645281821151893,11.5,0.588,1.1,1.2,15.4,7.1,2.8,3.0,19.5
Alex Caruso,2024,0,Elite Scorer,0.23143023234422763,2.1723443733462617,1.1734194406687095,14.5,0.613,2.5,2.3,16.4,7.5,3.5,2.9,14.9
Alex Len,2016,4,Stretch Big,0.16281648366545712,-1.2889165546794954,-1.8073095706355096,12.4,0.482,-4.3,-1.0,8.5,17.7,2.8,1.0,16.6
Alex Len,2017,5,Utility Bench,0.24594222073268776,0.4895824322853484,-2.6745168850496714,15.0,0.553,-2.3,-0.1,4.2,17.8,5.1,1.2,15.5
Alex Len,2018,5,Utility Bench,0.32935819809085826,2.0944394547312313,-2.138826905008526,19.4,0.612,0.3,0.8,9.1,19.8,3.5,0.9,14.0
Alex Len,2019,5,Utility Bench,0.09489028002879256,0.849608089295574,-2.006999524481363,17.2,0.575,-1.2,0.3,8.6,14.4,3.9,0.8,11.5
Alex Len,2020,5,Utility Bench,0.3098010314218534,1.4723816145842619,-2.3260877329109952,17.7,0.6,-0.7,0.3,7.9,18.0,4.3,1.1,13.1
Alex Len,2020,5,Utility Bench,0.3098010314218534,1.4723816145842619,-2.3260877329109952,17.7,0.6,-0.7,0.3,7.9,18.0,4.3,1.1,13.1
Alex Len,2020,5,Utility Bench,0.20468406147323528,1.2963727718501261,-1.8416525989969723,17.5,0.59,-0.4,0.3,8.7,16.6,3.7,1.3,11.7
