rank,Player,archetype,Age,salary,salary_pct_cap,PER_predicted,PTS_predicted,WS_predicted,output_score,salary_score,age_factor,archetype_bonus,trade_value,tv_tier
1712,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.322979706704212,6.552424380875623,0.535878789347936,0.2421659035332514,1.0,1.0,0.03,-14.795926093566274,Fairly Valued
1713,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.322979706704212,6.552424380875623,0.535878789347936,0.2421659035332514,1.0,1.0,0.03,-14.795926093566274,Fairly Valued
1714,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.322979706704212,6.552424380875623,0.535878789347936,0.2421659035332514,1.0,1.0,0.03,-14.795926093566274,Fairly Valued
1715,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.322979706704212,6.552424380875623,0.535878789347936,0.2421659035332514,1.0,1.0,0.03,-14.795926093566274,Fairly Valued
1716,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1717,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1718,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1719,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1720,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1721,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1722,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
